lib_mrq_utac;lib_mod;cnit;cod_cbr;hybride;puiss_admin_98;puiss_max;typ_boite_nb_rapp;conso_urb;conso_exurb;conso_mixte;co2;co_typ_1;hc;nox;hcnox;ptcl;masse_ordma_min;masse_ordma_max;champ_v9;carrosserie;gamme;etiq_energ;bonus_malus;annee_df
ALFA-ROMEO;147 3P 1.6L TS (105ch);MAL1301JZ595;ES;non;7;77.0;M 5;11.3;6.4;8.2;196;None;None;None;None;None;None;None;None;None;None;E;None;2007
ALFA-ROMEO;147 3P 1.6L TS (120ch);MAL1401JB597;ES;non;8;88.0;M 5;11.2;6.4;8.2;194;None;None;None;None;None;None;None;None;None;None;E;None;2007
ALFA-ROMEO;147 3P 2.0L SELESPEED;MAL1601JX599;ES;non;10;110.0;M 5;12.1;7.0;8.9;211;None;None;None;None;None;None;None;None;None;None;F;None;2007
ALFA-ROMEO;147 3P 2.0L TS;MAL1601JZ601;ES;non;10;110.0;M 5;12.1;7.0;8.9;211;None;None;None;None;None;None;None;None;None;None;F;None;2007
ALFA-ROMEO;147 3P JTD (120ch) M-JET;MAL5401JH627;GO;non;7;88.0;M 5;7.8;4.7;5.8;153;None;None;None;None;None;None;None;None;None;None;D;None;2007
ALFA-ROMEO;147 3P JTD (120ch) M-JET;MAL5401JM668;GO;non;7;88.0;M 5;7.8;4.7;5.8;153;None;None;None;None;None;None;None;None;None;None;D;None;2007
ALFA-ROMEO;147 3P JTD (150ch) M-JET;MAL5601J0626;GO;non;9;110.0;M 6;8.0;4.7;5.9;157;None;None;None;None;None;None;None;None;None;None;D;None;2007
ALFA-ROMEO;147 3P JTD (150ch) M-JET;MAL5601J5667;GO;non;9;110.0;M 6;8.0;4.7;5.9;157;None;None;None;None;None;None;None;None;None;None;D;None;2007
ALFA-ROMEO;147 5P 1.6TS (105ch);MAL1302JD607;ES;non;7;77.0;M 5;11.3;6.4;8.2;196;None;None;None;None;None;None;None;None;None;None;E;None;2007
ALFA-ROMEO;147 5P 1.6TS (120ch);MAL1402JP609;ES;non;8;88.0;M 5;11.2;6.4;8.2;194;None;None;None;None;None;None;None;None;None;None;E;None;2007
ALFA-ROMEO;147 5P 2.0L;MAL1602JD613;ES;non;10;110.0;M 5;12.1;7.0;8.9;211;None;None;None;None;None;None;None;None;None;None;F;None;2007
ALFA-ROMEO;147 5P 2.0L SELESPEED;MAL1602JB611;ES;non;10;110.0;M 5;12.1;7.0;8.9;211;None;None;None;None;None;None;None;None;None;None;F;None;2007
ALFA-ROMEO;147 5P JTD (120ch) M-JET;MAL5402JL629;GO;non;7;88.0;M 5;7.8;4.7;5.8;153;None;None;None;None;None;None;None;None;None;None;D;None;2007
ALFA-ROMEO;147 5P JTD (120ch) M-JET;MAL5402JQ670;GO;non;7;88.0;M 5;7.8;4.7;5.8;153;None;None;None;None;None;None;None;None;None;None;D;None;2007
ALFA-ROMEO;147 5P JTD (150ch) M-JET;MAL5602J4628;GO;non;9;110.0;M 6;8.0;4.7;5.9;157;None;None;None;None;None;None;None;None;None;None;D;None;2007
ALFA-ROMEO;147 5P JTD (150ch) M-JET;MAL5602J9669;GO;non;9;110.0;M 6;8.0;4.7;5.9;157;None;None;None;None;None;None;None;None;None;None;D;None;2007
ALFA-ROMEO;159 1.9 JTD (120ch);MAL5402MK625;GO;non;7;88.0;M 6;7.8;4.9;5.9;157;None;None;None;None;None;None;None;None;None;None;D;None;2007
ALFA-ROMEO;159 1.9 JTD (150ch);MAL5602M1622;GO;non;9;110.0;M 6;8.1;4.8;6.0;159;None;None;None;None;None;None;None;None;None;None;D;None;2007
ALFA-ROMEO;159 1.9 JTD (150ch) Qtronic;MAL7602MN674;GO;non;9;110.0;A 6;9.9;5.5;7.1;187;None;None;None;None;None;None;None;None;None;None;E;None;2007
ALFA-ROMEO;159 1.9L JTS;MAL1702MY621;ES;non;10;118.0;M 6;12.2;6.6;8.7;205;None;None;None;None;None;None;None;None;None;None;F;None;2007
ALFA-ROMEO;159 2.2L JTS;MAL1802MB624;ES;non;12;136.0;M 6;13.0;7.3;9.4;221;None;None;None;None;None;None;None;None;None;None;F;None;2007
ALFA-ROMEO;159 2.2L JTS SELESPEED;MAL1802M7681;ES;non;12;136.0;M 6;12.8;7.1;9.2;217;None;None;None;None;None;None;None;None;None;None;F;None;2007
ALFA-ROMEO;159 2.4 JTD M-JET 210;MAL6902MU704;GO;non;13;154.0;M 6;10.0;6.0;7.5;197;None;None;None;None;None;None;None;None;None;None;E;None;2007
ALFA-ROMEO;159 2.4JTD;MAL5802MM623;GO;non;12;147.0;M 6;9.2;5.4;6.8;179;None;None;None;None;None;None;None;None;None;None;E;None;2007
ALFA-ROMEO;159 2.4JTD Qtronic;MAL7802MJ675;GO;non;13;147.0;A 6;11.6;5.9;8.0;210;None;None;None;None;None;None;None;None;None;None;F;None;2007
ALFA-ROMEO;159 3.2L V6 JTS Q4;MAL2902MY634;ES;non;18;191.0;M 6;16.9;8.4;11.5;273;None;None;None;None;None;None;None;None;None;None;G;None;2007
ALFA-ROMEO;159 3.2L V6 JTS Q4 Qtronic;MAL4902M2682;ES;non;19;191.0;A 6;18.4;8.6;12.2;289;None;None;None;None;None;None;None;None;None;None;G;None;2007
ALFA-ROMEO;159 SW 1.8L MPI;MAL1604MQ680;ES;non;9;103.0;M 5;10.7;6.3;7.9;187;None;None;None;None;None;None;None;None;None;None;E;None;2007
ALFA-ROMEO;159 SW 1.9 JTD (120ch) M-JET;MAL5404M5642;GO;non;7;88.0;M 6;7.9;4.9;6.0;159;None;None;None;None;None;None;None;None;None;None;D;None;2007
ALFA-ROMEO;159 SW 1.9 JTD (150ch) M-JET;MAL5604MN640;GO;non;9;110.0;M 6;8.3;4.8;6.1;162;None;None;None;None;None;None;None;None;None;None;E;None;2007
ALFA-ROMEO;159 SW 1.9 JTD (150ch) M-JET Qtronic;MAL7604MU677;GO;non;9;110.0;A 6;10.1;5.6;7.2;190;None;None;None;None;None;None;None;None;None;None;E;None;2007
ALFA-ROMEO;159 SW 1.9L JTS;MAL1704MJ638;ES;non;10;118.0;M 6;12.4;6.7;8.8;209;None;None;None;None;None;None;None;None;None;None;F;None;2007
ALFA-ROMEO;159 SW 2.2L JTS;MAL1804MU639;ES;non;12;136.0;M 6;13.2;7.3;9.5;224;None;None;None;None;None;None;None;None;None;None;F;None;2007
ALFA-ROMEO;159 SW 2.2L JTS SELESPEED;MAL1804MD683;ES;non;12;136.0;M 6;13.0;7.1;9.3;219;None;None;None;None;None;None;None;None;None;None;F;None;2007
ALFA-ROMEO;159 SW 2.4 JTD M-JET;MAL5804M8641;GO;non;12;147.0;M 6;9.4;5.6;7.0;185;None;None;None;None;None;None;None;None;None;None;E;None;2007
ALFA-ROMEO;159 SW 2.4 JTD M-JET 210;MAL6904M8714;GO;non;13;154.0;M 6;10.2;6.0;7.6;199;None;None;None;None;None;None;None;None;None;None;E;None;2007
ALFA-ROMEO;159 SW 2.4 JTD M-JET Qtronic;MAL7804MQ678;GO;non;13;147.0;A 6;11.8;6.0;8.1;215;None;None;None;None;None;None;None;None;None;None;F;None;2007
ALFA-ROMEO;159 SW 3.2L V6 JTS Q4;MAL2904MM679;ES;non;18;191.0;M 6;17.1;8.5;11.6;275;None;None;None;None;None;None;None;None;None;None;G;None;2007
